Name,URL,Author,Price,Number of Ratings,Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo,https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1,Jill Twiss,$11.39,"4,649",4.9 out of 5 stars
"A Higher Loyalty: Truth, Lies, and Leadership",https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1,James Comey,$17.99,Not available,Not available
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends,https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1,Peter Schweizer,$17.39,13,4.5 out of 5 stars
Marlon Bundo's Day in the Life of the Vice President,https://www.amazon.com/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1,Charlotte Pence,$11.69,155,4.5 out of 5 stars
Llama Llama Easter Egg,https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1,Anna Dewdney,$5.68,215,4.5 out of 5 stars
"Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life",https://www.amazon.com/Genius-Foods-Smarter-Productive-Protecting/dp/0062562851?_encoding=UTF8&psc=1,Max Lugavere,$16.82,38,5.0 out of 5 stars
12 Rules for Life: An Antidote to Chaos,https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1,Jordan B. Peterson,$15.57,"1,495",4.7 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1,Michael Isikoff,$19.26,132,4.6 out of 5 stars
Food: What the Heck Should I Eat?,https://www.amazon.com/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1,Mark Hyman M.D.,$16.80,171,4.6 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included,https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1,Don't Laugh Joke,$7.74,10,5.0 out of 5 stars
Easter Eggstravaganza Mad Libs,https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1,Roger Price,$4.17,134,4.6 out of 5 stars
Player's Handbook (Dungeons & Dragons),https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1,Wizards RPG Team,$20.98,"2,493",4.6 out of 5 stars
Peppa's Easter Egg Hunt (Peppa Pig),https://www.amazon.com/Peppas-Easter-Egg-Hunt-Peppa/dp/0545881307?_encoding=UTF8&psc=1,Scholastic,$2.95,181,4.8 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1,Mark Manson,$14.99,"3,246",4.4 out of 5 stars
Ready Player One: A Novel,https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1,Ernest Cline,$8.79,"16,304",4.6 out of 5 stars
A Brief History of Time,https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1,Stephen Hawking,$11.04,"2,125",4.5 out of 5 stars
